Date,Ticker,Close,High,Low,Open,Volume
1/2/20,F,7.309789658,7.309789658,7.131312457,7.208911368,43425700
1/3/20,F,7.146831512,7.270989161,7.100272024,7.224430413,45040800
1/6/20,F,7.108032703,7.115792742,7.030434536,7.061473951,43372300
1/7/20,F,7.177871704,7.177871704,7.076993418,7.13907225,44984100
1/8/20,F,7.177871704,7.216671159,7.115792873,7.162351626,45994900
1/9/20,F,7.185631275,7.224430727,7.123552448,7.216670689,51817400
1/10/20,F,7.177871704,7.263229912,7.177871704,7.193391782,39796300
1/13/20,F,7.170110703,7.185630778,7.06923243,7.17787074,48553700
1/14/20,F,7.208910942,7.239950357,7.146832112,7.154592151,42935600
1/15/20,F,7.131311417,7.216670355,7.123552119,7.193390981,55923900
1/16/20,F,7.115792274,7.201150475,7.100272198,7.162351024,44310400
1/17/20,F,7.108032703,7.162351495,7.084753327,7.13131208,41644900
1/21/20,F,7.146831512,7.154591551,7.061473314,7.100272024,49556400
1/22/20,F,7.108032703,7.177871572,7.100272665,7.154592196,39914800
1/23/20,F,7.092514038,7.108033377,6.929556909,7.092514038,75848700
1/24/20,F,6.983875751,7.076994006,6.952836333,7.069233966,68100900
1/27/20,F,6.898516178,6.952834964,6.81315724,6.89075614,60769300
1/28/20,F,6.960596085,6.983875462,6.875237133,6.937315967,85163400
1/29/20,F,6.992163181,7.071081806,6.976379908,6.984271921,59057400
1/30/20,F,6.976377964,6.976377964,6.889567351,6.952702684,42827800
1/31/20,F,6.960595608,6.976379633,6.897461012,6.92902831,59813700
2/3/20,F,7.086863041,7.213132954,6.984269912,6.984269912,71405400
2/4/20,F,7.244700909,7.292051472,7.157890288,7.1657823,86196400
2/5/20,F,6.558111668,6.692272098,6.518652363,6.637029523,145792500
2/6/20,F,6.510760307,6.613354196,6.510760307,6.605462185,68823400
2/7/20,F,6.400274754,6.479193366,6.329248906,6.479193366,98256500
2/10/20,F,6.360816479,6.43184233,6.352924467,6.43184233,71834900
2/11/20,F,6.392384052,6.431842609,6.376600027,6.392384052,80164500
2/12/20,F,6.502869129,6.573895735,6.416059252,6.423951264,111536800
2/13/20,F,6.510760307,6.597570174,6.479193015,6.479193015,67648800
