Date,Ticker,Close,High,Low,Open,Volume
1/2/20,AAPL,72.71607208,72.77659819,71.46681225,71.72101896,135480400
1/3/20,AAPL,72.00912476,72.7717523,71.78396939,71.94133581,146322800
1/6/20,AAPL,72.58290863,72.62164623,70.87607527,71.12786596,118387200
1/7/20,AAPL,72.24156189,72.84923913,72.02124592,72.59260897,108872000
1/8/20,AAPL,73.40364075,73.70627128,71.94375137,71.94375137,132079200
1/9/20,AAPL,74.96279144,75.15647202,74.13237507,74.38415834,170108400
1/10/20,AAPL,75.13227081,75.69880173,74.62869681,75.19764374,140644800
1/13/20,AAPL,76.73741913,76.76405446,75.33079296,75.44942916,121532000
1/14/20,AAPL,75.70121002,76.88510421,75.57774179,76.67447454,161954400
1/15/20,AAPL,75.37678528,76.3839405,74.94341632,75.50026089,121923600
1/16/20,AAPL,76.32099915,76.4323725,75.55837166,75.92152831,108829200
1/17/20,AAPL,77.16595459,77.16837061,76.26290232,76.57037232,137816400
1/21/20,AAPL,76.64299011,77.23614145,76.50498883,76.79309366,110843200
1/22/20,AAPL,76.9165802,77.47099402,76.82215593,77.12962589,101832400
1/23/20,AAPL,77.28699493,77.36688614,76.42025699,76.96983874,104472000
1/24/20,AAPL,77.06426239,78.279624,76.87299782,77.53394559,146537600
1/27/20,AAPL,74.79816437,75.48089322,73.81279759,75.06689673,161940000
1/28/20,AAPL,76.91416931,77.08606142,75.58259473,75.68185845,162234000
1/29/20,AAPL,78.52414703,79.37393592,77.80752002,78.55078236,216229200
1/30/20,AAPL,78.41035461,78.46361788,77.17078121,77.60415017,126743200
1/31/20,AAPL,74.93375397,78.12226558,74.63838623,77.69858277,199588400
2/3/20,AAPL,74.72793579,75.89729665,73.16878306,73.67235689,173788400
2/4/20,AAPL,77.19499969,77.38626427,75.93121426,76.33794794,136616400
2/5/20,AAPL,77.82447052,78.62583558,77.21920946,78.32562107,118826800
2/6/20,AAPL,78.73478699,78.7372104,77.53637438,78.09563507,105425600
2/7/20,AAPL,77.6645813,78.48240857,77.17194309,78.23244943,117684000
2/10/20,AAPL,78.0334549,78.0334549,76.16483043,76.24491127,109348800
